team,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90,attendance_per_g,top_team_scorers,top_keeper,notes,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Manchester City,38,28,5,5,94,33,+61,89,2.34,78.7,32.1,+46.6,+1.23,"53,249",Erling Haaland - 36,Ederson,→ Champions League via league finish,24,27.2,64.7,38,418,"3,420",38.0,92,69,161,83,9,10,44,1,78.7,71.1,57.6,128.7,987,2073,2.42,1.82,4.24,2.18,4.00,2.07,1.52,3.59,1.87,3.39,2,38,38,"3,420",38.0,33,0.87,92,60,67.4,28,5,5,13,34.2,3,3,0,0,0.0,2,38.0,33,3,1,4,1,30.3,0.30,-1.7,-0.05,128,287,44.6,1259,163,19.0,28.0,164,29.3,31.4,312,20,6.4,40,1.05,15.7,24,38.0,92,590,205,34.7,15.53,5.39,0.14,0.40,16.6,20,9,10,78.7,71.1,0.12,+13.3,+11.9,24,38.0,23263,26642,87.3,396454,114920,11020,11888,92.7,9848,10836,90.9,1932,2849,67.8,69,57.6,57.6,+11.4,464,1770,445,75,2073,24,38.0,26642,25047,1544,440,94,177,742,614,238,72,87,11,23263,51,350,24,38.0,1099,28.92,826,81,53,76,49,14,168,4.42,130,7,8,9,12,2,24,38.0,471,272,185,198,88,212,455,46.6,243,339,95,244,223,694,402,8,24,64.7,38.0,29895,2170,7410,14372,8301,1277,29885,702,334,47.6,239,34.0,19120,104039,56163,987,753,279,406,298,22992,2054,24,27.2,38,"3,420",90,100,38.0,418,84,294,123,19,219,2.34,94,33,+61,+1.61,78.7,32.1,+46.6,+1.23,24,38.0,44,1,0,347,384,51,742,223,272,9,3,1,1866,438,364,54.6
Arsenal,38,26,6,6,88,43,+45,84,2.21,71.9,42.0,+29.9,+0.79,"60,191","Martin Ødegaard, Gabriel Martinelli - 15",Aaron Ramsdale,→ Champions League via league finish,26,24.7,59.3,38,418,"3,420",38.0,84,64,148,81,3,4,51,0,71.9,69.1,53.8,122.9,824,2049,2.21,1.68,3.89,2.13,3.82,1.89,1.41,3.31,1.82,3.23,1,38,38,"3,420",38.0,43,1.13,136,94,70.6,26,6,6,14,36.8,5,3,0,2,0.0,1,38.0,43,3,0,6,1,40.0,0.28,-2.0,-0.05,109,429,25.4,956,174,35.4,33.3,153,59.5,49.2,381,22,5.8,43,1.13,16.1,26,38.0,84,589,194,32.9,15.50,5.11,0.14,0.42,16.0,16,3,4,71.9,69.1,0.12,+12.1,+11.9,26,38.0,18281,21969,83.2,310206,100635,8542,9478,90.1,7825,8821,88.7,1454,2548,57.1,64,53.8,46.8,+10.2,443,1637,459,62,2049,26,38.0,21969,20293,1620,516,86,97,674,615,223,154,8,3,18281,56,379,26,38.0,1045,27.50,776,78,57,73,43,18,150,3.95,121,6,5,13,3,2,26,38.0,568,343,238,212,118,249,506,49.2,257,362,86,276,237,805,599,22,26,59.3,38.0,25909,1994,6632,11452,8015,1296,25905,751,351,46.7,290,38.6,15923,84011,44201,824,583,281,526,378,18101,2024,26,24.7,38,"3,420",90,100,38.0,418,85,270,150,15,192,2.21,88,43,+45,+1.18,71.9,42.0,+29.9,+0.79,26,38.0,51,0,0,373,435,56,674,237,343,3,5,1,1984,486,559,46.5
Manchester Utd,38,23,6,9,58,43,+15,75,1.97,67.7,50.4,+17.3,+0.45,"73,671",Marcus Rashford - 17,David de Gea,→ Champions League via league finish,26,26.9,53.7,38,418,"3,420",38.0,56,42,98,53,3,3,78,2,67.7,65.3,52.2,117.5,711,1595,1.47,1.11,2.58,1.39,2.50,1.78,1.37,3.15,1.72,3.09,1,38,38,"3,420",38.0,43,1.13,142,99,71.1,23,6,9,17,44.7,3,2,1,0,33.3,1,38.0,43,2,2,6,1,41.3,0.27,-0.7,-0.02,141,449,31.4,1032,128,32.6,32.3,179,63.1,47.1,526,15,2.9,32,0.84,14.8,26,38.0,56,590,206,34.9,15.53,5.42,0.09,0.26,17.8,20,3,3,67.7,65.3,0.11,-11.7,-12.3,26,38.0,16603,20525,80.9,276625,97026,8273,9294,89.0,6359,7306,87.0,1438,2651,54.2,42,52.2,44.6,-10.2,478,1268,398,57,1595,26,38.0,20525,18827,1619,325,105,165,517,715,196,71,47,4,16603,79,420,26,38.0,1051,27.66,840,58,46,63,35,9,99,2.61,79,3,8,5,4,0,26,38.0,658,400,343,231,84,301,598,50.3,297,496,146,350,352,1010,771,10,26,53.7,38.0,24848,2639,8093,10389,6570,1036,24845,730,317,43.4,338,46.3,14245,70351,37126,711,515,239,497,293,16447,1578,26,26.9,38,"3,420",90,100,38.0,418,83,269,149,19,192,1.97,58,43,+15,+0.39,67.7,50.4,+17.3,+0.45,26,38.0,78,2,0,424,297,79,517,352,400,2,3,1,2190,465,434,51.7
Newcastle Utd,38,19,14,5,68,33,+35,71,1.87,72.0,39.6,+32.4,+0.85,"52,127",Callum Wilson - 18,Nick Pope,→ Champions League via league finish,27,27.3,52.3,38,418,"3,420",38.0,64,42,106,58,6,6,61,1,72.0,67.4,51.9,119.3,694,1618,1.68,1.11,2.79,1.53,2.63,1.89,1.37,3.26,1.77,3.14,2,38,38,"3,418",38.0,33,0.87,127,94,75.6,19,14,5,14,36.8,5,2,2,1,50.0,2,38.0,33,2,0,8,2,33.2,0.24,+2.2,+0.06,126,378,33.3,722,246,31.9,20.7,222,66.7,49.6,441,35,7.9,74,1.95,12.4,27,38.0,64,565,184,32.6,14.87,4.84,0.10,0.32,15.6,15,6,6,72.0,67.4,0.12,-8.0,-9.4,27,38.0,13925,17837,78.1,246297,90893,6433,7370,87.3,5580,6605,84.5,1523,2774,54.9,42,51.9,45.0,-9.9,435,1083,403,64,1618,27,38.0,17837,16020,1746,447,88,142,740,728,270,106,90,15,13925,71,370,27,38.0,1008,26.53,690,110,62,77,57,12,106,2.79,64,6,15,10,6,5,27,38.0,607,360,268,254,85,307,642,47.8,335,448,116,332,333,940,680,10,27,52.3,38.0,22106,2088,6757,9053,6516,1161,22100,783,349,44.6,322,41.1,12021,64166,32968,694,493,227,576,363,13803,1599,27,27.3,38,"3,420",90,100,38.0,418,84,263,155,16,185,1.87,68,33,+35,+0.92,72.0,39.6,+32.4,+0.85,27,38.0,61,1,0,406,399,71,740,333,360,2,5,2,2065,553,427,56.4
Liverpool,38,19,10,9,75,47,+28,67,1.76,72.6,50.9,+21.7,+0.57,"53,163",Mohamed Salah - 19,Alisson,→ Europa League via league finish,28,27.4,60.8,38,418,"3,420",38.0,71,58,129,69,2,4,57,1,72.6,69.5,56.7,126.1,719,1992,1.87,1.53,3.39,1.82,3.34,1.91,1.49,3.40,1.83,3.32,2,38,38,"3,420",38.0,47,1.24,157,111,71.3,19,10,9,14,36.8,4,2,1,1,33.3,2,38.0,47,2,0,0,2,54.1,0.33,+9.1,+0.24,118,285,41.4,1278,217,18.2,24.3,195,26.7,31.2,400,23,5.8,89,2.34,9.0,28,38.0,71,601,203,33.8,15.82,5.34,0.11,0.34,16.2,7,2,4,72.6,69.5,0.12,-1.6,-0.5,28,38.0,20043,24361,82.3,352929,120466,9023,10114,89.2,8561,9758,87.7,1962,3283,59.8,58,56.7,52.3,+1.3,458,1615,452,85,1992,28,38.0,24361,22466,1811,416,103,198,799,860,235,56,155,1,20043,84,383,28,38.0,1046,27.53,778,85,55,75,33,20,129,3.39,97,9,7,8,7,1,28,38.0,590,370,228,250,112,281,648,43.4,367,350,74,276,333,923,568,19,28,60.8,38.0,28399,2310,8119,13329,7149,1252,28395,691,320,46.3,282,40.8,17146,82458,41527,719,569,234,584,413,19921,1974,28,27.4,38,"3,420",90,100,38.0,418,82,253,164,20,178,1.76,75,47,+28,+0.74,72.6,50.9,+21.7,+0.57,28,38.0,57,1,0,405,321,84,799,333,370,3,4,2,2211,482,455,51.4
Brighton,38,18,8,12,72,53,+19,62,1.63,73.3,50.2,+23.1,+0.61,"31,477",Alexis Mac Allister - 10,Robert Sánchez,→ Europa League via league finish,29,26.3,60.2,38,418,"3,420",38.0,68,46,114,62,6,6,58,0,73.3,68.9,52.2,121.2,809,1849,1.79,1.21,3.00,1.63,2.84,1.93,1.37,3.30,1.81,3.19,2,38,38,"3,420",38.0,53,1.39,131,82,64.1,18,8,12,12,31.6,8,6,2,0,25.0,2,38.0,53,6,0,6,6,42.7,0.27,-4.3,-0.11,94,279,33.7,1128,151,20.2,28.9,186,27.4,28.8,355,27,7.6,32,0.84,12.3,29,38.0,68,607,219,36.1,15.97,5.76,0.10,0.28,16.8,12,6,6,73.3,68.9,0.12,-5.3,-6.9,29,38.0,19210,22888,83.9,319736,106474,9346,10305,90.7,7892,8919,88.5,1463,2462,59.4,46,52.2,44.7,-6.2,480,1459,391,78,1849,29,38.0,22888,21109,1709,445,81,130,694,693,233,102,88,2,19210,70,383,29,38.0,1074,28.26,819,73,80,63,27,12,114,3.00,83,3,12,9,6,1,29,38.0,616,340,270,242,104,266,560,47.5,294,392,104,288,303,919,432,15,29,60.2,38.0,26727,2471,7844,12212,6873,1102,26721,724,343,47.4,279,38.5,16331,83719,43965,809,547,250,558,324,18991,1828,29,26.3,38,"3,420",90,100,38.0,418,83,277,143,19,199,1.63,72,53,+19,+0.50,73.3,50.2,+23.1,+0.61,29,38.0,58,0,0,427,407,70,694,303,340,4,8,6,2013,444,387,53.4
Aston Villa,38,18,7,13,51,46,+5,61,1.61,50.2,52.5,-2.2,-0.06,"39,485",Ollie Watkins - 15,Emiliano Martínez,→ Europa Conference League via league finish,26,27.0,49.3,38,418,"3,420",38.0,49,35,84,46,3,4,80,1,50.2,47.2,38.8,86.0,637,1242,1.29,0.92,2.21,1.21,2.13,1.32,1.02,2.34,1.24,2.26,2,38,38,"3,420",38.0,46,1.21,151,108,72.8,18,7,13,12,31.6,6,5,1,0,16.7,2,38.0,46,5,1,9,4,42.8,0.25,+0.8,+0.02,214,585,36.6,1272,153,36.2,37.6,240,51.7,41.4,528,65,12.3,76,2.00,14.2,26,38.0,49,427,145,34.0,11.24,3.82,0.11,0.32,18.0,18,3,4,50.2,47.2,0.11,-1.2,-1.2,26,38.0,13782,17396,79.2,244084,87581,6109,6945,88.0,5981,6936,86.2,1345,2579,52.2,35,38.8,31.6,-3.8,318,964,268,80,1242,26,38.0,17396,15544,1794,599,54,101,561,684,162,97,19,4,13782,58,325,26,38.0,751,19.76,565,50,48,38,40,10,84,2.21,55,2,6,12,6,3,26,38.0,633,338,305,251,77,313,646,48.5,333,438,118,320,324,957,714,13,26,49.3,38.0,21501,2783,7912,9077,4706,746,21496,681,292,42.9,279,41.0,12294,65583,33156,637,434,174,565,371,13587,1227,26,27.0,38,"3,420",90,100,38.0,418,83,274,144,20,193,1.61,51,46,+5,+0.13,50.2,52.5,-2.2,-0.06,26,38.0,80,1,0,417,498,58,561,324,338,4,6,4,1847,442,465,48.7
Tottenham,38,18,6,14,70,63,+7,60,1.58,57.1,49.7,+7.4,+0.20,"61,585",Harry Kane - 30,Hugo Lloris,,29,27.6,50.0,38,418,"3,420",38.0,68,46,114,63,5,6,77,3,57.1,52.4,43.1,95.5,692,1449,1.79,1.21,3.00,1.66,2.87,1.50,1.13,2.64,1.38,2.51,2,38,38,"3,420",38.0,63,1.66,172,109,65.1,18,6,14,10,26.3,4,3,1,0,25.0,2,38.0,63,3,1,7,1,55.1,0.30,-6.9,-0.18,113,342,33.0,808,180,30.8,30.2,279,33.3,29.7,515,25,4.9,45,1.18,15.2,29,38.0,68,512,186,36.3,13.47,4.89,0.12,0.34,16.7,13,5,6,57.1,52.4,0.10,+10.9,+10.6,29,38.0,15972,19672,81.2,277567,92697,7333,8180,89.6,6707,7682,87.3,1499,2669,56.2,46,43.1,34.0,+2.9,386,1071,323,104,1449,29,38.0,19672,17950,1655,404,74,165,719,664,203,113,51,0,15972,67,414,29,38.0,910,23.95,692,60,46,55,38,19,116,3.05,84,7,7,9,7,2,29,38.0,619,353,325,215,79,275,574,47.9,299,428,148,280,340,959,762,19,29,50.0,38.0,23836,2734,8571,10329,5135,842,23830,663,303,45.7,288,43.4,13676,71282,36837,692,465,189,521,356,15864,1436,29,27.6,38,"3,420",90,100,38.0,418,85,278,140,15,202,1.58,70,63,+7,+0.18,57.1,49.7,+7.4,+0.20,29,38.0,77,3,1,424,353,67,719,340,353,5,4,1,1984,549,474,53.7
Brentford,38,15,14,9,58,46,+12,59,1.55,56.8,49.9,+6.8,+0.18,"17,078",Ivan Toney - 20,David Raya,,25,26.2,43.8,38,418,"3,420",38.0,56,36,92,49,7,8,57,1,56.8,50.6,38.7,89.2,392,1131,1.47,0.95,2.42,1.29,2.24,1.49,1.02,2.51,1.33,2.35,1,38,38,"3,420",38.0,46,1.21,197,154,77.7,15,14,9,12,31.6,2,2,0,0,0.0,1,38.0,46,2,0,9,3,48.0,0.24,+5.0,+0.13,347,882,39.3,1367,160,50.7,39.5,269,70.3,51.8,598,52,8.7,54,1.42,15.8,25,38.0,56,400,147,36.8,10.53,3.87,0.12,0.33,15.7,14,7,8,56.8,50.6,0.13,-0.8,-1.6,25,38.0,11317,15551,72.8,209961,87006,5142,6116,84.1,4475,5602,79.9,1438,2947,48.8,36,38.7,30.5,-2.7,284,922,279,87,1131,25,38.0,15551,13766,1713,453,53,107,661,738,163,83,34,12,11317,72,303,25,38.0,702,18.47,475,99,32,45,44,7,98,2.58,65,8,4,8,11,2,25,38.0,587,337,270,228,89,253,599,42.2,346,456,168,288,341,928,822,12,25,43.8,38.0,19750,2632,7290,7802,4835,827,19742,597,264,44.2,248,41.5,10408,49009,23987,392,299,102,520,335,11203,1121,25,26.2,38,"3,420",90,100,38.0,418,82,247,171,19,171,1.55,58,46,+12,+0.32,56.8,49.9,+6.8,+0.18,25,38.0,57,1,1,354,399,72,661,341,337,7,2,3,1959,665,618,51.8
Fulham,38,15,7,16,55,53,+2,52,1.37,46.2,63.8,-17.6,-0.46,"23,746",Aleksandar Mitrović - 14,Bernd Leno,,29,28.2,48.8,38,418,"3,420",38.0,52,33,85,47,5,9,80,1,46.2,39.1,28.5,67.7,662,1326,1.37,0.87,2.24,1.24,2.11,1.22,0.75,1.97,1.03,1.78,2,38,38,"3,420",38.0,53,1.39,196,144,76.5,15,7,16,9,23.7,8,7,1,0,12.5,2,38.0,53,7,1,8,2,60.1,0.28,+9.1,+0.24,140,438,32.0,1199,193,27.9,46.0,257,40.5,37.4,490,36,7.3,48,1.26,14.0,29,38.0,52,420,137,32.6,11.05,3.61,0.11,0.34,17.3,17,5,9,46.2,39.1,0.10,+5.8,+7.9,29,38.0,13974,18014,77.6,255629,89303,5867,6818,86.1,6222,7333,84.8,1551,2860,54.2,33,28.5,23.7,+4.5,306,1044,284,97,1326,29,38.0,18014,16136,1818,471,20,157,769,795,182,70,69,2,13974,60,393,29,38.0,751,19.76,528,78,29,54,47,15,90,2.37,56,9,5,11,7,2,29,38.0,623,349,294,228,101,299,578,51.7,279,455,125,330,340,963,749,13,29,48.8,38.0,22160,2563,7461,9519,5414,758,22151,592,269,45.4,238,40.2,12249,68133,35319,662,471,124,536,379,13846,1316,29,28.2,38,"3,420",90,100,38.0,418,84,265,152,15,190,1.37,55,53,+2,+0.05,46.2,63.8,-17.6,-0.46,29,38.0,80,1,0,411,405,60,769,340,349,8,8,2,1979,511,550,48.2
