team,xg,x,y,Shot type,Situation,Result
Manchester City,0.04,98.6315789471,41.772499999999994,Header,From corner,Miss
Manchester City,0.04,89.2,28.875238094000004,Right foot,Regular play,Miss
Manchester City,0.03,82.03446602,42.639687499999994,Right foot,From corner,Miss
Manchester City,0.05,82.1470873792,44.2109554094,Right foot,Regular play,Attempt saved
Manchester City,0.04,98.3421052628,41.141904761999996,Header,From corner,Miss
Manchester City,0.09,80.23252427279999,28.623095237,Right foot,Regular play,Miss
Manchester City,0.12,89.7,25.533749999999998,Left foot,Regular play,Attempt saved
Manchester City,0.13,97.4736842099,34.99125,Header,Regular play,Miss
Manchester City,0.09,78.7684466032,28.623095237,Right foot,Regular play,Miss
Manchester City,0.06,86.889705882,36.745000000000005,Left foot,Regular play,Miss
Manchester City,0.31,98.8245614033,33.31375,Left foot,From corner,Miss
Manchester City,0.40,87.1044117644,31.254999999999995,Left foot,Regular play,Attempt saved
Manchester City,0.07,101.4913793106,21.4769426787,Left foot,Regular play,Attempt saved
Manchester City,0.05,85.06470588159999,17.4833121036,Right foot,Free kick,Miss
Manchester City,0.14,85.4941176464,27.698571428000008,Left foot,Regular play,Blocked
Manchester City,0.14,89.6,29.043333332000003,Left foot,Regular play,Blocked
Manchester City,0.04,86.13823529359999,44.981656046699996,Left foot,Regular play,Miss
Manchester City,0.04,93.8,19.164840766799998,Right foot,Regular play,Miss
Manchester City,0.03,84.286893204,48.9752866218,Right foot,Regular play,Blocked
Manchester City,0.39,96.7017543851,36.440000000000005,Left foot,Regular play,Goal
Manchester City,0.65,99.77586206919999,29.374999999999996,Left foot,Regular play,Goal
Manchester City,0.07,88.9,31.815,Left foot,Regular play,Goal
Manchester City,0.39,94.3157894727,35.0175,Left foot,Regular play,Goal
Manchester City,0.64,98.8275862072,31.662499999999998,Right foot,From corner,Goal
Manchester City,0.07,12.900000000000006,25.765,Left foot,Regular play,Blocked
Manchester City,0.07,10.228070176900005,26.227500000000003,Left foot,Regular play,Blocked
Manchester City,0.03,24.654854368000002,43.044375,Right foot,Regular play,Blocked
Manchester City,0.19,4.362068965199995,24.4896815336,Right foot,Regular play,Post
Manchester City,0.19,3.7931034479999965,24.349554145,Right foot,Regular play,Post
Manchester City,0.03,24.880097086399985,30.232,Left foot,Regular play,Blocked
Manchester City,,,,,,
