shapeId,shapeType,shapeLabel,pointId,pointX,pointY,source
0,polygon,,0,585,307,
0,polygon,,1,495,307,
0,polygon,,2,495,87,
0,polygon,,3,586,87,
1,polygon,,0,495,307,
1,polygon,,1,433,308,
1,polygon,,2,433,89,
1,polygon,,3,495,87,
2,polygon,,0,433,308,
2,polygon,,1,299,308,
2,polygon,,2,299,84,
2,polygon,,3,433,89,
3,polygon,,0,584,381,
3,polygon,,1,463,382,
3,polygon,,2,463,308,
3,polygon,,3,585,307,
4,polygon,,0,463,382,
4,polygon,,1,299,383,
4,polygon,,2,299,308,
4,polygon,,3,463,308,
5,polygon,,0,586,87,
5,polygon,,1,584,13,
5,polygon,,2,460,13,
5,polygon,,3,460,88,
6,polygon,,0,460,13,
6,polygon,,1,299,12,
6,polygon,,2,299,84,
6,polygon,,3,460,88,
